feedback_date,region,feedback_type,total_feedback_count,complaint_count,compliment_count,inquiry_count,avg_sentiment_score,negative_sentiment_count,neutral_sentiment_count,positive_sentiment_count,network_issue_count,billing_issue_count,service_issue_count,other_issue_count
2024-11-02,India & Middle East,Chat,286,126,2,158,-0.3,90,126,70,38,54,29,5
2024-11-02,Oceania,Call,198,86,23,89,0.29,85,39,74,82,1,2,1
2024-11-02,Oceania,Email,323,145,5,173,-0.12,86,116,121,78,3,31,33
2024-11-02,Oceania,Social,341,167,35,139,0.3,108,126,107,155,8,0,4
2024-11-02,Oceania,Chat,411,179,46,186,-0.19,149,118,144,169,0,7,3
2024-11-03,Europe & MENA,Call,236,14,47,175,0.33,64,121,51,14,1,11,0
2024-11-03,Europe & MENA,Email,69,6,3,60,0.44,16,27,26,3,0,1,2
2024-11-03,Europe & MENA,Social,512,34,83,395,0.24,116,205,191,10,6,11,7
2024-11-03,Europe & MENA,Chat,242,97,67,78,0.17,68,78,96,95,1,0,1
2024-11-03,North America,Call,74,9,23,42,0.01,22,27,25,9,8,0,0
2024-11-03,North America,Email,318,25,63,230,0.28,86,154,78,5,14,1,5
2024-11-03,North America,Social,134,16,22,96,-0.33,42,42,50,0,0,8,8
2024-11-03,North America,Chat,261,111,53,97,0.09,108,86,67,70,10,2,29
2024-11-03,Latin America,Call,162,5,18,139,0.09,64,49,49,4,1,2,0
2024-11-03,Latin America,Email,426,195,58,173,0.29,91,182,153,190,4,1,0
2024-11-03,Latin America,Social,219,71,35,113,0.27,68,97,54,26,25,16,4
2024-11-03,Latin America,Chat,401,29,119,253,-0.27,116,135,150,18,8,3,0
2024-11-03,Asia-Pacific,Call,402,57,2,343,0.12,100,201,101,16,39,1,1
2024-11-03,Asia-Pacific,Email,220,16,21,183,0.38,93,76,51,9,5,0,2
2024-11-03,Asia-Pacific,Social,429,107,37,285,0.3,148,171,110,80,10,13,4
2024-11-03,Asia-Pacific,Chat,509,57,71,381,-0.28,146,258,105,0,49,4,4
2024-11-03,India & Middle East,Call,409,176,42,191,0.2,101,165,143,159,13,2,2
2024-11-03,India & Middle East,Email,438,164,89,185,-0.06,193,76,169,60,32,56,16
2024-11-03,India & Middle East,Social,216,43,61,112,-0.04,70,85,61,17,5,13,8
2024-11-03,India & Middle East,Chat,165,73,47,45,-0.06,43,66,56,14,33,20,6
2024-11-03,Oceania,Call,304,91,58,155,0.26,94,118,92,70,13,4,4
2024-11-03,Oceania,Email,428,34,52,342,-0.2,121,168,139,26,6,2,0
2024-11-03,Oceania,Social,206,31,2,173,0.27,47,103,56,25,6,27,0
2024-11-03,Oceania,Chat,196,8,45,143,-0.2,45,110,41,8,2,5,0
2024-11-04,Europe & MENA,Call,342,134,98,110,-0.23,120,103,119,56,34,18,26
2024-11-04,Europe & MENA,Email,447,131,59,257,0.36,172,140,135,23,60,3,45
2024-11-04,Europe & MENA,Social,65,23,16,26,0.16,24,16,25,7,15,1,0
2024-11-04,Europe & MENA,Chat,331,80,11,240,0.42,76,142,113,76,1,0,3
2024-11-04,North America,Call,420,157,16,247,0.23,142,148,130,82,54,11,10
2024-11-04,North America,Email,439,79,7,353,-0.11,168,160,111,21,8,20,30
2024-11-04,North America,Social,359,48,8,303,0.17,147,125,87,28,0,2,18
2024-11-04,North America,Chat,248,106,30,112,0.3,87,98,63,79,24,3,0
2024-11-04,Latin America,Call,317,112,1,204,0.05,94,103,120,75,26,2,9
2024-11-04,Latin America,Email,346,95,98,153,-0.33,106,102,138,43,0,13,39
2024-11-04,Latin America,Social,262,46,38,178,0.04,88,111,63,36,6,0,4
2024-11-04,Latin America,Chat,452,117,20,315,-0.05,126,149,177,108,4,4,1
2024-11-04,Asia-Pacific,Call,345,62,0,283,-0.07,81,194,70,46,13,1,2
2024-11-04,Asia-Pacific,Email,516,113,30,373,-0.22,147,170,199,7,53,46,7
2024-11-04,Asia-Pacific,Social,251,51,22,178,0.36,109,74,68,46,3,1,1
2024-11-04,Asia-Pacific,Chat,450,124,10,316,0.3,173,146,131,29,46,32,17
2024-11-04,India & Middle East,Call,210,14,14,182,-0.21,85,56,69,11,0,2,1
2024-11-04,India & Middle East,Email,197,65,12,120,0.27,75,56,66,49,10,1,5
2024-11-04,India & Middle East,Social,265,8,87,170,0.38,73,123,69,8,7,4,0
2024-11-04,India & Middle East,Chat,434,14,34,386,0.05,117,181,136,7,7,13,0
2024-11-04,Oceania,Call,139,45,29,65,0.42,31,81,27,43,2,22,0
2024-11-04,Oceania,Email,237,24,61,152,0.06,57,133,47,1,18,1,4
2024-11-04,Oceania,Social,352,73,58,221,-0.22,94,133,125,42,12,12,7
2024-11-04,Oceania,Chat,374,8,69,297,0.15,150,83,141,3,2,2,1
2024-11-05,Europe & MENA,Call,171,58,35,78,-0.18,71,61,39,34,23,0,1
2024-11-05,Europe & MENA,Email,467,11,20,436,-0.23,199,124,144,8,3,8,0
2024-11-05,Europe & MENA,Social,456,72,80,304,0.31,149,215,92,71,1,19,0
2024-11-05,Europe & MENA,Chat,282,90,18,174,-0.1,111,66,105,27,36,6,21
2024-11-05,North America,Call,201,77,19,105,0.06,82,78,41,1,30,2,44
2024-11-05,North America,Email,405,177,89,139,-0.33,144,104,157,17,56,4,100
2024-11-05,North America,Social,456,182,35,239,-0.02,159,120,177,153,18,9,2
2024-11-05,North America,Chat,486,154,95,237,0.41,204,145,137,121,22,4,7
2024-11-05,Latin America,Call,356,138,50,168,-0.31,130,136,90,19,19,56,44
2024-11-05,Latin America,Email,312,140,65,107,0.26,66,172,74,36,92,10,2
2024-11-05,Latin America,Social,498,11,125,362,0.32,213,158,127,6,1,2,2
2024-11-05,Latin America,Chat,483,216,107,160,-0.27,164,214,105,105,66,34,11
2024-11-05,Asia-Pacific,Call,350,152,30,168,0.45,124,130,96,148,4,89,0
2024-11-05,Asia-Pacific,Email,216,65,58,93,-0.17,44,88,84,65,14,9,0
2024-11-05,Asia-Pacific,Social,245,90,34,121,-0.03,84,73,88,12,78,10,0
2024-11-05,Asia-Pacific,Chat,480,224,130,126,0.23,144,238,98,9,56,115,44
2024-11-05,India & Middle East,Call,295,120,65,110,-0.07,98,125,72,20,66,20,14
2024-11-05,India & Middle East,Email,172,17,5,150,0.43,57,53,62,15,0,0,2
2024-11-05,India & Middle East,Social,109,8,30,71,0.23,39,40,30,2,5,1,0
2024-11-05,India & Middle East,Chat,125,33,2,90,-0.19,37,53,35,11,14,4,4
2024-11-05,Oceania,Call,398,6,42,350,0.2,100,205,93,6,6,4,0
2024-11-05,Oceania,Email,172,32,28,112,0.13,61,51,60,5,6,6,15
2024-11-05,Oceania,Social,448,129,110,209,-0.15,102,181,165,86,22,16,5
2024-11-05,Oceania,Chat,269,1,37,231,-0.34,71,99,99,1,1,1,0
2024-11-06,Europe & MENA,Call,405,46,41,318,0.35,127,141,137,0,21,8,17
2024-11-06,Europe & MENA,Email,243,116,73,54,0.16,51,142,50,84,7,12,13
2024-11-06,Europe & MENA,Social,168,57,11,100,0.03,55,52,61,14,23,4,16
2024-11-06,Europe & MENA,Chat,266,128,23,115,0.32,66,136,64,3,73,22,30
2024-11-06,North America,Call,438,63,46,329,0.23,170,169,99,51,8,4,0
2024-11-06,North America,Email,284,20,84,180,0.1,83,98,103,17,0,1,2
2024-11-06,North America,Social,239,48,11,180,0.33,83,82,74,40,3,1,4
2024-11-06,North America,Chat,457,186,86,185,-0.14,118,198,141,154,0,10,22
2024-11-06,Latin America,Call,261,100,2,159,-0.06,80,106,75,81,19,61,0
2024-11-06,Latin America,Email,477,5,138,334,-0.26,121,173,183,2,3,1,0
2024-11-06,Latin America,Social,232,91,74,67,-0.26,102,74,56,12,45,20,14
2024-11-06,Latin America,Chat,143,3,9,131,-0.17,38,71,34,0,2,1,0
2024-11-06,Asia-Pacific,Call,373,138,95,140,0.12,87,207,79,137,0,0,1
2024-11-06,Asia-Pacific,Email,518,91,39,388,-0.2,128,187,203,86,2,3,0
2024-11-06,Asia-Pacific,Social,303,9,15,279,-0.25,73,111,119,0,2,7,0
2024-11-06,Asia-Pacific,Chat,298,37,93,168,-0.29,116,100,82,12,6,19,0
2024-11-06,India & Middle East,Call,300,78,60,162,-0.13,118,117,65,3,51,8,16
2024-11-06,India & Middle East,Email,94,4,16,74,0.42,23,36,35,0,0,0,4
2024-11-06,India & Middle East,Social,95,16,18,61,-0.27,29,37,29,6,2,6,2
2024-11-06,India & Middle East,Chat,238,54,44,140,-0.05,50,101,87,34,9,0,11
2024-11-06,Oceania,Call,256,76,11,169,0.32,92,95,69,44,12,3,17
2024-11-06,Oceania,Email,94,16,5,73,0.31,40,24,30,10,1,1,4
2024-11-06,Oceania,Social,451,42,77,332,-0.12,103,215,133,3,35,1,3
2024-11-06,Oceania,Chat,148,5,31,112,-0.19,62,48,38,2,2,1,0
2024-11-07,Europe & MENA,Call,460,9,136,315,0.13,201,110,149,4,0,0,5
2024-11-07,Europe & MENA,Email,401,14,87,300,0.22,96,192,113,6,7,1,0
2024-11-07,Europe & MENA,Social,284,24,48,212,-0.21,121,88,75,20,0,0,4
2024-11-07,Europe & MENA,Chat,329,76,26,227,-0.13,103,150,76,13,51,2,10
2024-11-07,North America,Call,427,9,88,330,-0.17,137,127,163,1,8,3,0
2024-11-07,North America,Email,511,117,130,264,0.28,186,158,167,108,8,0,1
2024-11-07,North America,Social,298,146,84,68,0.29,62,152,84,23,104,11,8
2024-11-07,North America,Chat,240,98,38,104,0.19,100,52,88,68,0,22,8
2024-11-07,Latin America,Call,421,10,134,277,-0.32,149,179,93,1,8,0,1
2024-11-07,Latin America,Email,409,68,68,273,-0.11,89,193,127,49,2,17,0
2024-11-07,Latin America,Social,302,79,83,140,-0.12,130,88,84,35,1,43,0
2024-11-07,Latin America,Chat,483,4,147,332,-0.08,138,153,192,3,0,1,0
2024-11-07,Asia-Pacific,Call,518,109,154,255,0.02,231,115,172,42,9,0,58
2024-11-07,Asia-Pacific,Email,293,36,89,168,-0.11,62,141,90,20,14,2,0
2024-11-07,Asia-Pacific,Social,303,78,92,133,0.4,128,68,107,23,19,5,31
2024-11-07,Asia-Pacific,Chat,228,41,0,187,-0.16,55,117,56,8,26,0,7
2024-11-07,India & Middle East,Call,262,128,31,103,0.09,100,110,52,57,50,1,20
2024-11-07,India & Middle East,Email,98,28,26,44,0.26,21,47,30,6,9,5,8
2024-11-07,India & Middle East,Social,119,36,1,82,0.44,35,51,33,19,5,4,8
2024-11-07,India & Middle East,Chat,268,97,79,92,0.38,57,127,84,55,25,9,8
2024-11-07,Oceania,Call,185,16,56,113,0.41,63,79,43,10,6,5,0
2024-11-07,Oceania,Email,484,5,130,349,0.17,169,177,138,5,2,0,0
2024-11-07,Oceania,Social,210,50,59,101,0.34,46,106,58,22,2,12,14
2024-11-07,Oceania,Chat,336,114,7,215,-0.16,73,133,130,92,19,1,2
2024-11-08,Europe & MENA,Call,364,154,87,123,0.14,151,110,103,23,118,1,12
2024-11-08,Europe & MENA,Email,473,179,31,263,0.31,190,107,176,23,33,5,118
2024-11-08,Europe & MENA,Social,473,103,63,307,-0.28,103,264,106,5,72,11,15
2024-11-08,Europe & MENA,Chat,430,26,132,272,0.24,147,168,115,17,4,1,4
2024-11-08,North America,Call,173,3,3,167,0.11,59,61,53,2,1,3,0
2024-11-08,North America,Email,446,160,89,197,0.1,155,140,151,43,23,77,17
2024-11-08,North America,Social,101,33,6,62,-0.25,22,50,29,3,0,20,10
2024-11-08,North America,Chat,162,43,48,71,0.08,42,80,40,35,0,3,5
2024-11-08,Latin America,Call,73,11,10,52,-0.05,32,24,17,5,0,0,6
2024-11-08,Latin America,Email,154,60,14,80,-0.1,44,49,61,27,12,11,10
2024-11-08,Latin America,Social,218,92,70,56,-0.29,93,77,48,63,7,9,13
2024-11-08,Latin America,Chat,223,28,18,177,-0.02,53,116,54,16,0,5,7
2024-11-08,Asia-Pacific,Call,255,25,18,212,0.16,67,123,65,13,3,0,9
2024-11-08,Asia-Pacific,Email,152,25,17,110,-0.26,38,79,35,15,1,1,8
2024-11-08,Asia-Pacific,Social,195,79,20,96,0.41,55,96,44,72,7,27,0
2024-11-08,Asia-Pacific,Chat,339,92,18,229,0.32,90,118,131,84,0,1,7
2024-11-08,India & Middle East,Call,407,85,35,287,0.21,123,171,113,11,25,16,33
2024-11-08,India & Middle East,Email,193,38,62,93,-0.02,47,75,71,24,14,3,0
2024-11-08,India & Middle East,Social,495,213,143,139,0.36,173,200,122,177,29,7,0
2024-11-08,India & Middle East,Chat,262,120,76,66,0.29,65,102,95,30,31,30,29
2024-11-08,Oceania,Call,128,32,35,61,0.39,52,33,43,18,11,1,2
2024-11-08,Oceania,Email,139,4,30,105,-0.26,31,68,40,2,1,0,1
2024-11-08,Oceania,Social,110,10,34,66,0.29,39,48,23,3,5,0,2
2024-11-08,Oceania,Chat,441,166,42,233,-0.05,109,223,109,100,30,11,25
2024-11-09,Europe & MENA,Call,264,14,66,184,-0.22,82,118,64,12,1,1,0
2024-11-09,Europe & MENA,Email,98,38,12,48,0.04,35,33,30,31,6,1,0
2024-11-09,Europe & MENA,Social,517,60,125,332,-0.16,166,189,162,0,36,20,4
2024-11-09,Europe & MENA,Chat,278,94,70,114,0.02,93,124,61,6,9,59,20
2024-11-09,North America,Call,294,75,34,185,0.11,123,108,63,26,21,11,17
2024-11-09,North America,Email,65,18,20,27,-0.3,14,36,15,17,1,4,0
2024-11-09,North America,Social,227,100,35,92,0.3,96,70,61,46,16,36,2
2024-11-09,North America,Chat,398,149,112,137,-0.34,178,139,81,138,10,1,0
2024-11-09,Latin America,Call,148,67,45,36,-0.19,41,66,41,60,4,0,3
2024-11-09,Latin America,Email,381,152,3,226,-0.17,121,148,112,8,103,3,38
2024-11-09,Latin America,Social,332,113,63,156,-0.28,70,143,119,55,11,17,30
2024-11-09,Latin America,Chat,283,87,8,188,0.12,101,119,63,68,12,3,4
2024-11-09,Asia-Pacific,Call,516,124,122,270,0.25,146,239,131,86,16,2,20
2024-11-09,Asia-Pacific,Email,490,205,162,123,0.15,124,174,192,189,16,147,0
2024-11-09,Asia-Pacific,Social,311,75,62,174,0.31,70,146,95,44,31,51,0
2024-11-09,Asia-Pacific,Chat,130,64,30,36,-0.31,34,67,29,48,6,9,1
2024-11-09,India & Middle East,Call,463,103,72,288,-0.01,136,158,169,80,3,6,14
2024-11-09,India & Middle East,Email,409,179,46,184,0.12,82,216,111,116,34,13,16
2024-11-09,India & Middle East,Social,260,71,21,168,0.01,109,51,100,41,27,3,0
2024-11-09,India & Middle East,Chat,69,19,14,36,-0.29,28,16,25,12,6,0,1
2024-11-09,Oceania,Call,498,102,44,352,-0.16,176,124,198,5,87,3,7
2024-11-09,Oceania,Email,226,49,28,149,-0.35,70,90,66,40,3,1,5
2024-11-09,Oceania,Social,287,89,18,180,-0.23,107,82,98,76,12,1,0
2024-11-09,Oceania,Chat,216,81,4,131,0.1,94,54,68,54,2,5,20
2024-11-10,Europe & MENA,Call,425,145,10,270,-0.19,87,173,165,15,27,10,93
2024-11-10,Europe & MENA,Email,277,19,72,186,0.33,102,106,69,18,1,17,0
2024-11-10,Europe & MENA,Social,219,47,20,152,-0.27,91,72,56,33,14,41,0
2024-11-10,Europe & MENA,Chat,278,17,53,208,0.43,110,78,90,15,2,5,0
2024-11-10,North America,Call,251,110,3,138,-0.21,75,125,51,91,3,12,4
2024-11-10,North America,Email,161,80,0,81,-0.04,44,70,47,43,29,4,4
2024-11-10,North America,Social,250,55,21,174,0.1,109,59,82,55,17,40,0
2024-11-10,North America,Chat,188,19,44,125,-0.01,82,67,39,12,0,5,2
2024-11-10,Latin America,Call,368,61,31,276,0.21,131,121,116,37,12,5,7
2024-11-10,Latin America,Email,220,109,41,70,0.34,51,90,79,7,98,3,1
2024-11-10,Latin America,Social,188,63,47,78,0.35,44,91,53,20,0,37,6
2024-11-10,Latin America,Chat,231,7,28,196,0.11,99,85,47,6,1,4,0
2024-11-10,Asia-Pacific,Call,431,140,27,264,0.27,108,158,165,65,62,9,4
2024-11-10,Asia-Pacific,Email,346,134,33,179,-0.32,143,95,108,115,8,6,5
2024-11-10,Asia-Pacific,Social,328,75,3,250,0.17,134,112,82,47,18,8,2
2024-11-10,Asia-Pacific,Chat,200,5,3,192,-0.17,73,74,53,5,4,1,0
2024-11-10,India & Middle East,Call,72,7,2,63,-0.31,15,31,26,3,4,6,0
2024-11-10,India & Middle East,Email,507,43,135,329,0.07,110,295,102,2,19,8,14
2024-11-10,India & Middle East,Social,416,69,101,246,0.2,146,139,131,2,11,27,29
2024-11-10,India & Middle East,Chat,503,234,111,158,-0.16,118,269,116,73,0,139,22
2024-11-10,Oceania,Call,164,29,5,130,-0.24,43,75,46,8,6,7,8
2024-11-10,Oceania,Email,265,37,68,160,-0.23,62,133,70,23,4,6,4
2024-11-10,Oceania,Social,396,170,40,186,-0.16,138,140,118,10,34,98,28
2024-11-10,Oceania,Chat,61,24,11,26,0.01,25,13,23,23,1,22,0
2024-11-11,Europe & MENA,Call,477,188,101,188,0.22,162,197,118,164,9,13,2
2024-11-11,Europe & MENA,Email,225,85,71,69,-0.12,45,97,83,45,21,11,8
2024-11-11,Europe & MENA,Social,491,90,29,372,0.15,192,123,176,1,66,5,18
2024-11-11,Europe & MENA,Chat,80,6,21,53,-0.18,30,31,19,3,3,1,0
2024-11-11,North America,Call,299,23,72,204,0.19,81,156,62,12,0,2,9
2024-11-11,North America,Email,357,62,22,273,-0.07,140,75,142,55,0,1,6
2024-11-11,North America,Social,273,117,9,147,-0.22,115,75,83,42,70,4,1
2024-11-11,North America,Chat,261,80,74,107,-0.28,68,95,98,53,12,9,6
2024-11-11,Latin America,Call,311,73,81,157,-0.19,87,118,106,16,56,1,0
2024-11-11,Latin America,Email,472,206,48,218,-0.06,97,229,146,9,106,3,88
2024-11-11,Latin America,Social,133,62,31,40,0.16,50,35,48,4,29,14,15
2024-11-11,Latin America,Chat,227,29,41,157,-0.15,70,107,50,28,1,28,0
2024-11-11,Asia-Pacific,Call,100,24,18,58,-0.02,32,47,21,13,11,3,0
2024-11-11,Asia-Pacific,Email,334,73,80,181,0.17,74,170,90,39,29,3,2
2024-11-11,Asia-Pacific,Social,240,79,79,82,0.45,57,119,64,13,53,1,12
2024-11-11,Asia-Pacific,Chat,210,26,61,123,-0.33,68,59,83,7,16,2,1
2024-11-11,India & Middle East,Call,231,38,38,155,-0.05,91,51,89,26,10,0,2
2024-11-11,India & Middle East,Email,335,42,57,236,-0.14,135,131,69,31,0,5,6
2024-11-11,India & Middle East,Social,72,17,23,32,0.14,29,18,25,14,3,13,0
2024-11-11,India & Middle East,Chat,310,41,79,190,0.27,87,148,75,30,10,0,1
2024-11-11,Oceania,Call,103,24,15,64,-0.14,24,46,33,4,10,1,9
2024-11-11,Oceania,Email,317,108,51,158,-0.28,125,110,82,42,10,37,19
2024-11-11,Oceania,Social,382,32,104,246,0.2,97,164,121,7,2,9,14
2024-11-11,Oceania,Chat,306,31,55,220,0.29,83,150,73,18,7,4,2
2024-11-12,Europe & MENA,Call,129,45,23,61,0.32,46,48,35,22,16,2,5
2024-11-12,Europe & MENA,Email,89,24,10,55,-0.35,19,43,27,22,2,14,0
2024-11-12,Europe & MENA,Social,357,99,52,206,-0.09,142,136,79,56,28,1,14
2024-11-12,Europe & MENA,Chat,315,138,48,129,-0.06,68,127,120,41,90,0,7
2024-11-12,North America,Call,147,63,6,78,0.23,66,33,48,6,44,12,1
2024-11-12,North America,Email,489,34,117,338,0.09,192,141,156,15,7,1,11
2024-11-12,North America,Social,432,142,109,181,0.22,131,192,109,16,93,23,10
2024-11-12,North America,Chat,477,12,139,326,0.4,128,224,125,3,7,1,1
2024-11-12,Latin America,Call,493,219,62,212,0.43,146,180,167,38,126,27,28
2024-11-12,Latin America,Email,510,90,126,294,0.12,198,203,109,14,65,6,5
2024-11-12,Latin America,Social,477,56,148,273,0.05,146,215,116,31,12,6,7
2024-11-12,Latin America,Chat,274,82,27,165,-0.28,118,102,54,47,22,13,0
2024-11-12,Asia-Pacific,Call,349,120,89,140,-0.17,116,162,71,102,9,2,7
2024-11-12,Asia-Pacific,Email,367,161,51,155,0.44,140,137,90,131,3,10,17
2024-11-12,Asia-Pacific,Social,291,121,66,104,-0.11,96,119,76,32,87,1,1
2024-11-12,Asia-Pacific,Chat,154,59,21,74,0.29,51,46,57,56,1,1,1
2024-11-12,India & Middle East,Call,150,35,6,109,-0.33,52,50,48,34,0,1,0
2024-11-12,India & Middle East,Email,164,24,26,114,0.31,44,77,43,18,0,2,4
2024-11-12,India & Middle East,Social,466,105,127,234,-0.33,181,107,178,98,2,4,1
2024-11-12,India & Middle East,Chat,285,107,30,148,-0.08,83,106,96,78,8,17,4
2024-11-12,Oceania,Call,234,9,51,174,0.39,50,100,84,1,1,3,4
2024-11-12,Oceania,Email,289,24,58,207,0.15,124,94,71,17,0,0,7
2024-11-12,Oceania,Social,410,123,35,252,0.23,127,153,130,11,59,5,48
2024-11-12,Oceania,Chat,213,16,23,174,-0.0,87,69,57,1,6,9,0
2024-11-13,Europe & MENA,Call,478,133,27,318,-0.22,180,161,137,28,27,38,40
2024-11-13,Europe & MENA,Email,239,29,46,164,-0.33,65,84,90,13,14,2,0
2024-11-13,Europe & MENA,Social,298,18,78,202,-0.31,74,152,72,18,2,8,0
2024-11-13,Europe & MENA,Chat,501,105,52,344,-0.05,146,161,194,27,57,8,13
2024-11-13,North America,Call,329,134,105,90,-0.1,140,109,80,72,13,36,13
2024-11-13,North America,Email,431,143,78,210,0.32,173,118,140,141,1,1,0
2024-11-13,North America,Social,253,4,46,203,0.17,67,87,99,2,0,2,0
2024-11-13,North America,Chat,331,25,25,281,0.3,80,153,98,15,8,2,0
2024-11-13,Latin America,Call,88,20,13,55,0.1,25,35,28,13,3,4,0
2024-11-13,Latin America,Email,292,32,79,181,0.11,120,61,111,0,18,10,4
2024-11-13,Latin America,Social,488,66,141,281,-0.09,111,190,187,46,19,1,0
2024-11-13,Latin America,Chat,441,131,67,243,0.15,122,214,105,118,0,7,6
2024-11-13,Asia-Pacific,Call,165,31,24,110,-0.33,63,50,52,15,3,1,12
2024-11-13,Asia-Pacific,Email,177,10,14,153,-0.32,52,88,37,4,3,0,3
2024-11-13,Asia-Pacific,Social,274,133,43,98,0.44,62,117,95,88,45,74,0
2024-11-13,Asia-Pacific,Chat,140,3,24,113,0.13,28,67,45,2,0,0,1
2024-11-13,India & Middle East,Call,336,69,88,179,0.17,132,112,92,37,6,15,11
2024-11-13,India & Middle East,Email,370,143,36,191,-0.07,89,146,135,64,61,10,8
2024-11-13,India & Middle East,Social,73,0,5,68,0.01,24,20,29,0,0,0,0
2024-11-13,India & Middle East,Chat,219,28,36,155,0.27,70,90,59,22,2,2,2
2024-11-13,Oceania,Call,360,6,51,303,-0.29,136,96,128,1,0,1,4
2024-11-13,Oceania,Email,443,79,52,312,0.02,184,120,139,50,18,8,3
2024-11-13,Oceania,Social,454,207,116,131,0.35,95,237,122,38,83,78,8
2024-11-13,Oceania,Chat,452,173,147,132,-0.02,137,179,136,129,26,13,5
2024-11-14,Europe & MENA,Call,484,202,119,163,0.01,205,102,177,35,107,20,40
2024-11-14,Europe & MENA,Email,313,10,72,231,0.22,132,75,106,0,10,6,0
2024-11-14,Europe & MENA,Social,123,7,9,107,-0.07,31,63,29,1,3,2,1
2024-11-14,Europe & MENA,Chat,166,47,32,87,-0.24,57,57,52,20,23,3,1
2024-11-14,North America,Call,364,153,40,171,0.19,144,118,102,110,4,33,6
2024-11-14,North America,Email,507,147,123,237,0.43,167,199,141,45,84,18,0
2024-11-14,North America,Social,432,148,120,164,-0.16,90,204,138,96,6,21,25
2024-11-14,North America,Chat,111,41,17,53,0.32,34,37,40,29,5,0,7
2024-11-14,Latin America,Call,333,154,21,158,-0.3,148,76,109,31,1,122,0
