tower_id,tower_name,region,network_type,capacity_date,total_bandwidth_gbps,used_bandwidth_gbps,available_bandwidth_gbps,utilization_pct,equipment_status,last_maintenance_date,next_scheduled_maintenance,expected_growth_pct,upgrade_recommended,estimated_capacity_exhaustion_date
TWR_0039,Cubic3 Node 39,North America,Edge Node,2025-01-15,103.0,87.4,15.6,84.9,Active,2024-07-22,2025-08-12,13.2,True,2025-12-02
TWR_0040,Cubic3 Node 40,Europe & MENA,5G,2025-01-15,133.4,90.2,43.2,67.6,Active,2024-08-23,2025-06-23,12.9,False,2026-04-19
TWR_0041,Cubic3 Node 41,India & Middle East,4G,2025-01-15,137.3,59.6,77.7,43.4,Active,2024-11-19,2025-04-04,9.0,False,2026-06-27
TWR_0042,Cubic3 Node 42,North America,5G,2025-01-15,84.0,68.1,15.9,81.1,Active,2024-09-17,2025-07-10,23.0,True,2026-09-26
TWR_0043,Cubic3 Node 43,Europe & MENA,5G,2025-01-15,198.9,108.1,90.8,54.3,Active,2024-11-29,2025-03-16,13.4,False,2025-11-21
TWR_0044,Cubic3 Node 44,Oceania,5G,2025-01-15,156.6,88.1,68.5,56.3,Active,2024-08-18,2025-07-12,20.4,True,2026-01-23
TWR_0045,Cubic3 Node 45,Europe & MENA,4G,2025-01-15,183.7,98.0,85.7,53.3,Degraded,2024-10-26,2025-03-28,15.2,False,2026-10-13
TWR_0046,Cubic3 Node 46,Oceania,Edge Node,2025-01-15,218.8,93.9,124.9,42.9,Active,2024-07-21,2025-04-16,25.9,True,2026-01-13
TWR_0047,Cubic3 Node 47,Europe & MENA,4G,2025-01-15,124.6,60.1,64.5,48.2,Active,2024-07-30,2025-06-17,15.0,False,2026-03-07
TWR_0048,Cubic3 Node 48,Latin America,Edge Node,2025-01-15,189.4,116.4,73.0,61.5,Active,2024-11-15,2025-04-25,15.5,False,2026-09-13
TWR_0049,Cubic3 Node 49,Asia-Pacific,4G,2025-01-15,214.2,147.7,66.5,69.0,Active,2024-11-10,2025-07-21,23.5,True,2026-11-07
TWR_0050,Cubic3 Node 50,India & Middle East,5G,2025-01-15,164.7,107.7,57.0,65.4,Active,2024-09-24,2025-05-09,11.3,False,2025-12-10
TWR_0051,Cubic3 Node 51,Oceania,Edge Node,2025-01-15,189.3,149.6,39.7,79.0,Active,2024-10-04,2025-07-24,9.2,True,2025-12-07
TWR_0052,Cubic3 Node 52,Oceania,Edge Node,2025-01-15,98.4,84.3,14.1,85.7,Degraded,2024-12-10,2025-03-22,24.6,True,2025-12-28
TWR_0053,Cubic3 Node 53,Europe & MENA,4G,2025-01-15,111.1,74.1,37.0,66.7,Active,2024-08-23,2025-04-05,19.0,False,2026-08-06
TWR_0054,Cubic3 Node 54,Oceania,Edge Node,2025-01-15,170.7,134.0,36.7,78.5,Active,2024-11-26,2025-03-10,19.7,True,2026-10-06
TWR_0055,Cubic3 Node 55,Europe & MENA,5G,2025-01-15,191.4,91.7,99.7,47.9,Degraded,2024-09-07,2025-04-02,8.7,False,2026-04-28
TWR_0056,Cubic3 Node 56,North America,5G,2025-01-15,193.8,128.1,65.7,66.1,Active,2024-10-30,2025-04-13,14.5,False,2026-03-05
TWR_0057,Cubic3 Node 57,Asia-Pacific,4G,2025-01-15,152.9,66.3,86.6,43.4,Degraded,2024-07-27,2025-03-29,13.1,False,2025-12-27
TWR_0058,Cubic3 Node 58,Latin America,5G,2025-01-15,120.6,69.8,50.8,57.9,Active,2024-09-13,2025-05-19,21.6,True,2026-06-14
TWR_0059,Cubic3 Node 59,Latin America,5G,2025-01-15,126.7,69.8,56.9,55.1,Active,2024-09-25,2025-08-09,22.6,True,2026-06-09
TWR_0060,Cubic3 Node 60,Oceania,5G,2025-01-15,193.4,115.5,77.9,59.7,Active,2024-08-04,2025-06-12,22.0,True,2026-03-18
TWR_0061,Cubic3 Node 61,Asia-Pacific,5G,2025-01-15,81.0,48.7,32.3,60.1,Active,2024-10-22,2025-03-06,23.1,True,2026-02-12
TWR_0062,Cubic3 Node 62,North America,5G,2025-01-15,138.2,77.1,61.1,55.8,Active,2024-10-14,2025-06-09,12.1,False,2026-11-29
TWR_0063,Cubic3 Node 63,Europe & MENA,5G,2025-01-15,216.4,163.4,53.0,75.5,Active,2024-09-09,2025-04-16,21.0,True,2026-07-25
TWR_0064,Cubic3 Node 64,Oceania,5G,2025-01-15,87.8,43.7,44.1,49.8,Active,2024-10-24,2025-05-13,21.6,True,2026-10-01
TWR_0065,Cubic3 Node 65,Europe & MENA,5G,2025-01-15,215.3,125.3,90.0,58.2,Active,2024-08-02,2025-07-31,9.8,False,2026-08-11
TWR_0066,Cubic3 Node 66,Europe & MENA,4G,2025-01-15,115.3,72.8,42.5,63.1,Degraded,2024-11-05,2025-03-11,19.8,False,2026-10-02
TWR_0067,Cubic3 Node 67,Oceania,Edge Node,2025-01-15,212.1,150.9,61.2,71.1,Active,2024-09-16,2025-08-08,8.7,False,2026-12-06
TWR_0068,Cubic3 Node 68,North America,4G,2025-01-15,175.9,96.4,79.5,54.8,Active,2024-10-06,2025-06-08,9.8,False,2026-09-11
TWR_0069,Cubic3 Node 69,India & Middle East,5G,2025-01-15,182.0,151.7,30.3,83.4,Active,2024-08-30,2025-03-11,23.5,True,2026-01-13
TWR_0070,Cubic3 Node 70,Oceania,Edge Node,2025-01-15,166.5,85.6,80.9,51.4,Active,2024-12-14,2025-05-18,9.4,False,2026-10-09
TWR_0071,Cubic3 Node 71,Oceania,4G,2025-01-15,116.2,76.4,39.8,65.7,Active,2024-08-02,2025-07-20,21.7,True,2026-01-18
TWR_0072,Cubic3 Node 72,Latin America,4G,2025-01-15,85.3,59.9,25.4,70.2,Active,2024-11-03,2025-04-22,9.2,False,2026-04-07
TWR_0073,Cubic3 Node 73,Europe & MENA,5G,2025-01-15,151.3,83.6,67.7,55.3,Active,2024-07-24,2025-06-14,24.6,True,2025-10-24
TWR_0074,Cubic3 Node 74,India & Middle East,5G,2025-01-15,87.9,68.2,19.7,77.6,Active,2024-10-07,2025-08-02,17.8,False,2026-07-25
TWR_0075,Cubic3 Node 75,North America,5G,2025-01-15,202.1,95.4,106.7,47.2,Active,2024-10-21,2025-03-05,19.1,False,2026-04-29
TWR_0076,Cubic3 Node 76,Asia-Pacific,Edge Node,2025-01-15,111.0,52.8,58.2,47.6,Active,2024-08-26,2025-03-22,22.5,True,2025-09-30
TWR_0077,Cubic3 Node 77,North America,5G,2025-01-15,194.9,85.6,109.3,43.9,Active,2024-10-25,2025-07-29,24.0,True,2026-11-16
TWR_0078,Cubic3 Node 78,Europe & MENA,4G,2025-01-15,181.8,148.5,33.3,81.7,Active,2024-08-25,2025-04-01,21.4,True,2026-09-07
TWR_0079,Cubic3 Node 79,North America,Edge Node,2025-01-15,106.1,53.6,52.5,50.5,Active,2024-11-01,2025-04-27,17.4,False,2026-07-27
TWR_0080,Cubic3 Node 80,Oceania,5G,2025-01-15,149.7,106.9,42.8,71.4,Active,2024-10-23,2025-06-07,19.7,False,2026-04-18
TWR_0081,Cubic3 Node 81,North America,Edge Node,2025-01-15,163.2,95.7,67.5,58.6,Degraded,2024-08-26,2025-03-30,19.3,False,2026-01-19
TWR_0082,Cubic3 Node 82,Oceania,4G,2025-01-15,176.6,135.0,41.6,76.4,Active,2024-08-03,2025-06-03,13.9,False,2026-04-07
TWR_0083,Cubic3 Node 83,North America,4G,2025-01-15,117.5,72.8,44.7,62.0,Active,2024-10-14,2025-04-24,9.6,False,2025-11-19
TWR_0084,Cubic3 Node 84,North America,5G,2025-01-15,211.1,181.3,29.8,85.9,Degraded,2024-12-14,2025-06-11,14.9,True,2025-10-08
TWR_0085,Cubic3 Node 85,Oceania,4G,2025-01-15,210.2,112.1,98.1,53.3,Active,2024-07-19,2025-05-31,19.2,False,2026-10-06
TWR_0086,Cubic3 Node 86,Europe & MENA,5G,2025-01-15,172.9,92.8,80.1,53.7,Active,2024-12-03,2025-05-07,22.3,True,2026-05-28
TWR_0087,Cubic3 Node 87,India & Middle East,5G,2025-01-15,91.4,60.5,30.9,66.2,Active,2024-09-29,2025-05-18,18.5,False,2026-05-20
TWR_0088,Cubic3 Node 88,Asia-Pacific,5G,2025-01-15,219.9,183.0,36.9,83.2,Active,2024-11-07,2025-04-17,24.6,True,2026-03-25
TWR_0089,Cubic3 Node 89,Latin America,Edge Node,2025-01-15,99.1,64.3,34.8,64.9,Active,2024-09-20,2025-03-01,18.9,False,2026-11-29
TWR_0090,Cubic3 Node 90,Europe & MENA,5G,2025-01-15,164.0,100.1,63.9,61.0,Active,2024-08-18,2025-05-09,12.7,False,2026-05-06
TWR_0091,Cubic3 Node 91,Europe & MENA,5G,2025-01-15,143.4,92.6,50.8,64.6,Degraded,2024-08-12,2025-03-19,17.5,False,2026-09-20
TWR_0092,Cubic3 Node 92,Europe & MENA,4G,2025-01-15,212.8,102.1,110.7,48.0,Degraded,2024-10-26,2025-05-27,25.3,True,2026-03-24
TWR_0093,Cubic3 Node 93,Latin America,4G,2025-01-15,209.2,165.5,43.7,79.1,Active,2024-10-19,2025-07-30,14.4,True,2025-09-25
TWR_0094,Cubic3 Node 94,India & Middle East,5G,2025-01-15,125.3,105.8,19.5,84.4,Active,2024-07-24,2025-06-11,14.1,True,2026-12-07
TWR_0095,Cubic3 Node 95,Latin America,5G,2025-01-15,88.7,53.1,35.6,59.9,Active,2024-09-23,2025-05-05,23.8,True,2026-11-19
TWR_0096,Cubic3 Node 96,Asia-Pacific,Edge Node,2025-01-15,130.3,91.2,39.1,70.0,Active,2024-10-05,2025-04-05,23.2,True,2026-07-02
TWR_0097,Cubic3 Node 97,North America,4G,2025-01-15,88.8,44.8,44.0,50.5,Active,2024-10-18,2025-05-21,10.6,False,2026-06-10
TWR_0098,Cubic3 Node 98,Oceania,5G,2025-01-15,187.4,124.9,62.5,66.6,Active,2024-08-09,2025-06-11,13.7,False,2025-10-20
TWR_0099,Cubic3 Node 99,Europe & MENA,4G,2025-01-15,193.9,91.6,102.3,47.2,Degraded,2024-07-26,2025-03-06,21.2,True,2026-09-20
TWR_0100,Cubic3 Node 100,North America,5G,2025-01-15,175.9,141.6,34.3,80.5,Active,2024-10-09,2025-05-12,12.0,True,2026-02-27
TWR_0101,Cubic3 Node 101,North America,4G,2025-01-15,215.0,170.8,44.2,79.4,Active,2024-11-06,2025-06-19,8.7,True,2026-05-05
TWR_0102,Cubic3 Node 102,India & Middle East,5G,2025-01-15,198.8,133.5,65.3,67.2,Degraded,2024-11-19,2025-04-25,25.1,True,2025-10-13
TWR_0103,Cubic3 Node 103,North America,4G,2025-01-15,168.9,72.9,96.0,43.2,Degraded,2024-11-12,2025-04-24,22.9,True,2026-02-23
TWR_0104,Cubic3 Node 104,India & Middle East,5G,2025-01-15,107.2,87.0,20.2,81.2,Active,2024-09-18,2025-04-03,15.5,True,2025-12-12
TWR_0105,Cubic3 Node 105,Oceania,Edge Node,2025-01-15,125.3,98.5,26.8,78.6,Active,2024-10-12,2025-04-25,8.2,True,2026-06-10
TWR_0106,Cubic3 Node 106,Asia-Pacific,5G,2025-01-15,206.5,123.5,83.0,59.8,Active,2024-09-25,2025-05-02,16.2,False,2025-12-18
TWR_0107,Cubic3 Node 107,Latin America,5G,2025-01-15,150.0,118.4,31.6,78.9,Active,2024-11-08,2025-07-17,23.8,True,2026-11-29
TWR_0108,Cubic3 Node 108,India & Middle East,5G,2025-01-15,197.9,85.5,112.4,43.2,Active,2024-07-19,2025-07-29,23.8,True,2026-03-21
TWR_0109,Cubic3 Node 109,India & Middle East,4G,2025-01-15,176.6,104.6,72.0,59.2,Degraded,2024-07-21,2025-08-05,19.2,False,2026-07-04
TWR_0110,Cubic3 Node 110,Latin America,4G,2025-01-15,113.4,92.1,21.3,81.2,Active,2024-09-04,2025-06-19,10.9,True,2025-12-24
TWR_0111,Cubic3 Node 111,North America,5G,2025-01-15,164.6,87.5,77.1,53.2,Active,2024-11-23,2025-05-09,14.9,False,2025-11-23
TWR_0112,Cubic3 Node 112,Oceania,5G,2025-01-15,102.5,62.4,40.1,60.9,Active,2024-09-23,2025-07-03,19.7,False,2026-07-08
TWR_0113,Cubic3 Node 113,Oceania,Edge Node,2025-01-15,205.3,158.7,46.6,77.3,Degraded,2024-10-26,2025-05-03,25.4,True,2026-08-08
TWR_0114,Cubic3 Node 114,Oceania,5G,2025-01-15,155.1,66.9,88.2,43.1,Degraded,2024-07-28,2025-03-01,11.8,False,2026-10-06
TWR_0115,Cubic3 Node 115,Oceania,5G,2025-01-15,200.3,147.4,52.9,73.6,Degraded,2024-10-05,2025-08-04,14.6,False,2026-09-10
TWR_0116,Cubic3 Node 116,Latin America,5G,2025-01-15,94.9,46.7,48.2,49.2,Degraded,2024-10-20,2025-07-29,24.5,True,2026-07-19
TWR_0117,Cubic3 Node 117,India & Middle East,5G,2025-01-15,125.2,57.1,68.1,45.6,Active,2024-12-02,2025-04-22,16.8,False,2025-10-14
TWR_0118,Cubic3 Node 118,Latin America,Edge Node,2025-01-15,110.2,94.1,16.1,85.4,Degraded,2024-10-29,2025-08-01,23.4,True,2026-06-06
TWR_0119,Cubic3 Node 119,India & Middle East,5G,2025-01-15,107.0,69.6,37.4,65.0,Active,2024-09-06,2025-03-17,23.2,True,2026-02-28
TWR_0120,Cubic3 Node 120,Latin America,Edge Node,2025-01-15,204.5,111.2,93.3,54.4,Degraded,2024-08-03,2025-06-03,10.9,False,2026-06-01
TWR_0121,Cubic3 Node 121,Oceania,5G,2025-01-15,92.5,58.6,33.9,63.4,Degraded,2024-11-15,2025-06-21,23.2,True,2026-02-17
TWR_0122,Cubic3 Node 122,North America,5G,2025-01-15,148.5,105.9,42.6,71.3,Active,2024-10-29,2025-03-20,8.7,False,2026-12-19
TWR_0123,Cubic3 Node 123,Europe & MENA,4G,2025-01-15,189.3,121.8,67.5,64.3,Degraded,2024-11-27,2025-04-07,17.9,False,2025-11-26
TWR_0124,Cubic3 Node 124,Asia-Pacific,5G,2025-01-15,149.7,93.6,56.1,62.5,Active,2024-07-29,2025-05-22,25.6,True,2025-12-31
TWR_0125,Cubic3 Node 125,Europe & MENA,4G,2025-01-15,129.4,77.6,51.8,60.0,Active,2024-10-14,2025-06-23,12.2,False,2026-08-30
TWR_0126,Cubic3 Node 126,Latin America,5G,2025-01-15,127.4,63.0,64.4,49.5,Active,2024-08-05,2025-05-20,16.2,False,2026-06-27
TWR_0127,Cubic3 Node 127,Latin America,5G,2025-01-15,180.4,103.4,77.0,57.3,Active,2024-08-16,2025-03-07,9.0,False,2026-02-12
TWR_0128,Cubic3 Node 128,Asia-Pacific,5G,2025-01-15,195.4,121.7,73.7,62.3,Degraded,2024-11-30,2025-07-14,21.7,True,2026-04-02
TWR_0129,Cubic3 Node 129,Latin America,5G,2025-01-15,110.3,59.1,51.2,53.6,Degraded,2024-08-18,2025-04-05,10.0,False,2026-05-06
TWR_0130,Cubic3 Node 130,India & Middle East,5G,2025-01-15,171.6,117.7,53.9,68.6,Active,2024-08-22,2025-08-03,10.7,False,2026-09-17
TWR_0131,Cubic3 Node 131,Latin America,5G,2025-01-15,208.7,159.7,49.0,76.5,Active,2024-08-19,2025-04-19,21.3,True,2026-02-14
TWR_0132,Cubic3 Node 132,Europe & MENA,5G,2025-01-15,131.4,110.3,21.1,83.9,Active,2024-09-14,2025-07-17,13.9,True,2025-12-02
TWR_0133,Cubic3 Node 133,Oceania,4G,2025-01-15,102.8,47.8,55.0,46.5,Degraded,2024-09-18,2025-08-05,10.5,False,2026-10-29
TWR_0134,Cubic3 Node 134,Asia-Pacific,5G,2025-01-15,162.0,131.8,30.2,81.4,Active,2024-10-22,2025-04-20,23.1,True,2027-01-05
TWR_0135,Cubic3 Node 135,Europe & MENA,4G,2025-01-15,170.2,112.2,58.0,65.9,Degraded,2024-09-17,2025-07-30,23.3,True,2026-05-31
TWR_0136,Cubic3 Node 136,North America,4G,2025-01-15,108.1,77.2,30.9,71.4,Active,2024-08-28,2025-06-09,18.3,False,2026-10-28
TWR_0137,Cubic3 Node 137,Asia-Pacific,5G,2025-01-15,110.2,56.8,53.4,51.5,Degraded,2024-09-21,2025-03-10,13.3,False,2026-01-13
TWR_0138,Cubic3 Node 138,Latin America,4G,2025-01-15,172.0,107.8,64.2,62.7,Active,2024-11-27,2025-05-30,8.2,False,2026-06-20
TWR_0139,Cubic3 Node 139,Asia-Pacific,Edge Node,2025-01-15,164.3,105.1,59.2,64.0,Active,2024-11-27,2025-06-10,16.5,False,2025-10-27
TWR_0140,Cubic3 Node 140,Asia-Pacific,Edge Node,2025-01-15,123.7,73.1,50.6,59.1,Degraded,2024-11-20,2025-07-22,16.3,False,2026-03-31
TWR_0141,Cubic3 Node 141,North America,4G,2025-01-15,182.4,122.2,60.2,67.0,Degraded,2024-12-09,2025-07-30,22.5,True,2025-09-12
TWR_0142,Cubic3 Node 142,Latin America,5G,2025-01-15,194.4,89.7,104.7,46.1,Degraded,2024-08-15,2025-07-02,8.4,False,2026-06-13
TWR_0143,Cubic3 Node 143,India & Middle East,Edge Node,2025-01-15,213.0,111.8,101.2,52.5,Degraded,2024-09-04,2025-08-02,8.0,False,2026-01-17
TWR_0144,Cubic3 Node 144,Oceania,5G,2025-01-15,80.6,47.3,33.3,58.7,Active,2024-07-27,2025-03-22,24.5,True,2026-11-15
TWR_0145,Cubic3 Node 145,Oceania,Edge Node,2025-01-15,153.4,99.1,54.3,64.6,Active,2024-12-11,2025-04-05,21.9,True,2026-06-14
TWR_0146,Cubic3 Node 146,North America,Edge Node,2025-01-15,114.8,58.2,56.6,50.7,Degraded,2024-09-09,2025-03-14,11.7,False,2025-09-17
TWR_0147,Cubic3 Node 147,Europe & MENA,4G,2025-01-15,111.0,69.8,41.2,62.9,Active,2024-09-05,2025-07-31,8.0,False,2025-10-21
TWR_0148,Cubic3 Node 148,Latin America,Edge Node,2025-01-15,159.1,99.1,60.0,62.3,Degraded,2024-10-09,2025-04-09,23.1,True,2026-02-28
TWR_0149,Cubic3 Node 149,Asia-Pacific,4G,2025-01-15,89.4,71.3,18.1,79.8,Active,2024-07-30,2025-07-21,10.9,True,2026-04-27
TWR_0150,Cubic3 Node 150,Oceania,5G,2025-01-15,137.4,87.4,50.0,63.6,Degraded,2024-10-14,2025-06-14,8.8,False,2026-05-28
TWR_0151,Cubic3 Node 151,Latin America,4G,2025-01-15,85.4,53.2,32.2,62.3,Active,2024-11-29,2025-07-08,22.5,True,2026-12-23
TWR_0152,Cubic3 Node 152,India & Middle East,4G,2025-01-15,171.0,149.9,21.1,87.7,Active,2024-09-14,2025-04-14,22.3,True,2026-09-02
TWR_0153,Cubic3 Node 153,India & Middle East,5G,2025-01-15,181.6,155.9,25.7,85.8,Active,2024-10-22,2025-08-08,10.6,True,2026-03-15
TWR_0154,Cubic3 Node 154,Oceania,Edge Node,2025-01-15,157.5,124.5,33.0,79.0,Degraded,2024-08-18,2025-04-22,16.4,True,2025-10-18
TWR_0155,Cubic3 Node 155,Oceania,5G,2025-01-15,208.3,114.7,93.6,55.1,Degraded,2024-11-12,2025-07-21,14.7,False,2026-12-09
TWR_0156,Cubic3 Node 156,Oceania,4G,2025-01-15,157.8,138.1,19.7,87.5,Active,2024-10-21,2025-05-16,12.7,True,2026-08-13
TWR_0157,Cubic3 Node 157,North America,Edge Node,2025-01-15,165.5,83.5,82.0,50.5,Active,2024-09-21,2025-04-04,8.7,False,2026-05-30
TWR_0158,Cubic3 Node 158,India & Middle East,Edge Node,2025-01-15,165.3,114.9,50.4,69.5,Degraded,2024-08-13,2025-07-13,11.6,False,2026-08-19
TWR_0159,Cubic3 Node 159,North America,Edge Node,2025-01-15,148.8,66.0,82.8,44.4,Active,2024-09-14,2025-06-02,11.6,False,2025-12-17
TWR_0160,Cubic3 Node 160,Oceania,Edge Node,2025-01-15,151.0,120.3,30.7,79.7,Active,2024-11-17,2025-07-21,19.9,True,2026-01-18
TWR_0161,Cubic3 Node 161,North America,5G,2025-01-15,124.2,86.3,37.9,69.5,Active,2024-10-16,2025-07-03,13.9,False,2025-12-26
TWR_0162,Cubic3 Node 162,India & Middle East,5G,2025-01-15,179.4,80.9,98.5,45.1,Active,2024-07-23,2025-05-04,13.7,False,2025-10-12
TWR_0163,Cubic3 Node 163,North America,4G,2025-01-15,133.8,94.6,39.2,70.7,Degraded,2024-09-27,2025-04-26,24.0,True,2026-06-05
TWR_0164,Cubic3 Node 164,Oceania,5G,2025-01-15,188.6,152.1,36.5,80.6,Degraded,2024-10-30,2025-07-12,21.7,True,2026-11-01
TWR_0165,Cubic3 Node 165,Oceania,Edge Node,2025-01-15,190.7,100.0,90.7,52.4,Active,2024-12-14,2025-04-01,14.7,False,2026-06-11
TWR_0166,Cubic3 Node 166,Asia-Pacific,Edge Node,2025-01-15,112.3,61.0,51.3,54.3,Active,2024-12-12,2025-03-13,10.3,False,2026-01-29
TWR_0167,Cubic3 Node 167,Latin America,4G,2025-01-15,107.2,71.2,36.0,66.4,Degraded,2024-09-04,2025-03-22,19.0,False,2026-08-09
TWR_0168,Cubic3 Node 168,India & Middle East,Edge Node,2025-01-15,131.2,99.0,32.2,75.5,Degraded,2024-10-25,2025-06-29,17.1,False,2025-09-23
