region,partner,oem_program,metric_date,avg_latency_ms,p95_latency_ms,packet_loss_pct,attach_success_rate,sessions
Latin America,Etisalat,Moto-2W,2025-02-19,116.1,142.1,0.74,0.968,2090
North America,Telstra,EV-Premium,2025-01-04,62.1,107.4,0.22,0.981,2542
Oceania,Telefonica,EV-Urban,2025-01-29,58.6,122.7,0.36,0.973,2716
India & Middle East,TIM,EV-Urban,2025-02-05,114.4,169.2,0.65,0.965,4288
North America,Etisalat,SUV-Connected,2025-01-15,102.8,135.1,0.76,0.963,1673
India & Middle East,Telefonica,Luxury-Flagship,2025-02-28,64.0,120.8,0.58,0.956,755
Asia-Pacific,Singtel,Luxury-Flagship,2025-01-18,127.0,201.9,0.7,0.964,3674
Europe & MENA,Rogers,Fleet-Leasing,2025-02-07,94.1,145.5,0.45,0.954,4905
Asia-Pacific,Deutsche Telekom,Fleet-Leasing,2025-02-17,119.3,176.6,0.15,0.952,846
Latin America,Deutsche Telekom,SUV-Connected,2025-01-07,84.6,163.1,0.32,0.985,2372
Oceania,Vodafone,EV-Premium,2025-01-01,92.3,124.8,0.48,0.941,2337
North America,AT&T,Commercial-Van,2025-01-02,128.5,204.4,0.2,0.973,3550
Europe & MENA,TIM,Moto-2W,2025-01-11,120.8,155.0,0.71,0.975,1705
Europe & MENA,Vodafone,Fleet-Leasing,2025-01-16,64.9,93.6,0.38,0.989,2415
North America,SK Telecom,Commercial-Van,2025-02-04,84.5,129.6,0.55,0.938,4110
Europe & MENA,TIM,Fleet-Leasing,2025-01-30,81.7,126.1,0.65,0.949,3728
Oceania,NTT Docomo,Commercial-Van,2025-02-28,70.8,137.6,0.1,0.954,4909
Latin America,Etisalat,Luxury-Flagship,2025-01-15,115.3,173.1,0.47,0.956,2878
Asia-Pacific,Airtel,SUV-Connected,2025-02-18,100.3,156.4,0.7,0.96,2081
Europe & MENA,NTT Docomo,Compact-Connected,2025-01-25,113.1,170.9,0.83,0.991,1027
Europe & MENA,Orange,EV-Premium,2025-01-06,88.4,152.1,0.51,0.99,1457
India & Middle East,AT&T,Luxury-Flagship,2025-02-23,63.3,123.5,0.11,0.963,890
North America,AT&T,Moto-2W,2025-01-14,50.1,103.4,0.58,0.944,1729
Asia-Pacific,Deutsche Telekom,Fleet-Leasing,2025-01-11,123.6,163.2,0.64,0.975,2823
Latin America,Singtel,SUV-Connected,2025-02-19,84.9,160.2,0.65,0.982,2877
Asia-Pacific,TIM,Commercial-Van,2025-01-19,128.0,157.2,0.32,0.955,3710
Asia-Pacific,Singtel,Fleet-Leasing,2025-02-05,56.3,81.6,0.71,0.937,4369
India & Middle East,Telstra,SUV-Connected,2025-01-28,62.2,107.9,0.75,0.938,2173
Europe & MENA,Telstra,Commercial-Van,2025-02-28,91.6,159.0,0.53,0.967,1948
Europe & MENA,AT&T,EV-Urban,2025-02-02,129.8,204.2,0.23,0.979,1414
Asia-Pacific,Singtel,EV-Urban,2025-01-24,48.0,125.8,0.38,0.941,3159
Oceania,Vodafone,Compact-Connected,2025-02-18,62.3,110.4,0.73,0.978,2860
North America,Singtel,SUV-Connected,2025-01-19,116.8,151.9,0.83,0.946,1313
North America,NTT Docomo,SUV-Connected,2025-02-25,50.3,89.9,0.21,0.965,1069
North America,Telstra,EV-Urban,2025-02-04,58.8,110.3,0.58,0.971,4031
Oceania,Singtel,Compact-Connected,2025-02-28,47.3,125.7,0.47,0.967,2683
India & Middle East,Rogers,Compact-Connected,2025-01-04,123.8,175.0,0.12,0.96,4883
Latin America,Telstra,EV-Urban,2025-02-21,72.3,133.2,0.66,0.976,4552
India & Middle East,Vodafone,Fleet-Leasing,2025-02-06,118.2,147.0,0.18,0.962,2726
Oceania,SK Telecom,Moto-2W,2025-02-09,67.5,120.7,0.13,0.965,821
Asia-Pacific,Telstra,Fleet-Leasing,2025-01-24,112.8,156.9,0.74,0.966,2253
Latin America,Orange,EV-Urban,2025-02-14,49.2,99.6,0.78,0.964,4381
North America,NTT Docomo,Commercial-Van,2025-01-11,115.7,176.9,0.32,0.938,1931
India & Middle East,Telefonica,EV-Urban,2025-01-22,104.6,178.3,0.21,0.959,3554
Latin America,TIM,Moto-2W,2025-01-18,128.6,188.0,0.26,0.931,3098
North America,NTT Docomo,Fleet-Leasing,2025-02-04,115.3,166.1,0.42,0.945,3573
Oceania,Singtel,Compact-Connected,2025-01-29,95.7,173.5,0.32,0.935,2151
Europe & MENA,SK Telecom,Luxury-Flagship,2025-02-04,61.3,127.8,0.58,0.949,815
North America,Singtel,SUV-Connected,2025-01-30,60.3,138.3,0.14,0.954,4864
North America,SK Telecom,EV-Urban,2025-01-01,70.7,132.4,0.35,0.946,1993
Europe & MENA,Rogers,Moto-2W,2025-02-08,79.4,105.5,0.75,0.976,2800
Latin America,Vodafone,Fleet-Leasing,2025-02-05,96.4,165.8,0.51,0.982,3789
Oceania,AT&T,SUV-Connected,2025-01-03,120.4,158.3,0.35,0.934,4494
Latin America,Telstra,Luxury-Flagship,2025-02-19,62.0,121.2,0.84,0.976,3368
Latin America,SK Telecom,EV-Premium,2025-02-04,87.7,149.1,0.72,0.946,3263
Oceania,Vodafone,Commercial-Van,2025-02-12,78.7,114.2,0.42,0.956,1036
Europe & MENA,Telstra,Fleet-Leasing,2025-02-26,74.4,110.5,0.6,0.977,2555
Oceania,Rogers,Luxury-Flagship,2025-01-29,54.4,89.3,0.34,0.963,4484
Latin America,Telstra,Moto-2W,2025-01-24,62.5,113.5,0.56,0.96,4914
India & Middle East,Vodafone,Luxury-Flagship,2025-03-01,109.0,162.3,0.09,0.955,1139
India & Middle East,Telstra,Commercial-Van,2025-01-07,70.7,112.4,0.45,0.979,1184
Oceania,Singtel,Moto-2W,2025-01-31,71.4,121.8,0.81,0.987,4285
Asia-Pacific,Orange,Moto-2W,2025-01-02,111.4,166.8,0.48,0.942,4926
Latin America,SK Telecom,Fleet-Leasing,2025-02-20,112.8,177.3,0.84,0.983,3491
Europe & MENA,Vodafone,Moto-2W,2025-01-20,83.3,116.6,0.44,0.987,3320
Asia-Pacific,AT&T,Luxury-Flagship,2025-02-22,81.1,147.7,0.53,0.935,965
Latin America,AT&T,Commercial-Van,2025-02-22,133.8,191.1,0.07,0.965,2587
North America,Vodafone,Luxury-Flagship,2025-01-26,109.7,177.1,0.84,0.987,820
Oceania,SK Telecom,Fleet-Leasing,2025-01-26,95.8,131.9,0.19,0.96,3194
India & Middle East,Telefonica,Compact-Connected,2025-02-14,110.3,147.7,0.61,0.946,2539
North America,NTT Docomo,Fleet-Leasing,2025-02-11,91.0,167.2,0.63,0.961,1924
Europe & MENA,Airtel,Luxury-Flagship,2025-02-17,83.7,126.4,0.27,0.968,1218
India & Middle East,Orange,EV-Premium,2025-01-03,58.6,113.1,0.12,0.932,2181
North America,Etisalat,Luxury-Flagship,2025-02-27,80.9,152.6,0.45,0.931,4689
Asia-Pacific,Airtel,Fleet-Leasing,2025-02-22,72.8,132.2,0.65,0.985,3707
Asia-Pacific,Etisalat,Commercial-Van,2025-01-10,115.0,159.0,0.18,0.975,2916
North America,NTT Docomo,EV-Premium,2025-03-01,113.2,146.7,0.74,0.966,3461
Latin America,Telefonica,Commercial-Van,2025-01-13,74.5,131.7,0.81,0.991,1098
Asia-Pacific,SK Telecom,Luxury-Flagship,2025-02-07,126.7,172.4,0.3,0.968,2055
India & Middle East,Orange,EV-Urban,2025-01-14,118.8,146.5,0.69,0.985,864
Asia-Pacific,Singtel,Fleet-Leasing,2025-01-08,72.8,98.9,0.24,0.991,3574
India & Middle East,Vodafone,Commercial-Van,2025-01-17,111.9,137.4,0.52,0.983,2156
North America,Telefonica,Compact-Connected,2025-01-07,55.4,97.9,0.63,0.947,4585
North America,Vodafone,Commercial-Van,2025-01-25,70.8,130.9,0.76,0.99,2312
Latin America,Vodafone,Fleet-Leasing,2025-01-29,54.6,95.0,0.67,0.955,3649
Oceania,Rogers,SUV-Connected,2025-02-03,127.7,163.1,0.66,0.972,2078
North America,Singtel,Luxury-Flagship,2025-02-11,47.9,117.6,0.3,0.969,3884
Latin America,NTT Docomo,Moto-2W,2025-01-14,104.0,183.1,0.11,0.934,1163
Oceania,Rogers,Moto-2W,2025-01-17,56.6,92.1,0.82,0.966,2438
Europe & MENA,Airtel,Luxury-Flagship,2025-01-01,77.8,134.1,0.46,0.951,2875
Latin America,TIM,EV-Urban,2025-01-17,68.4,101.5,0.84,0.93,807
North America,Telstra,Commercial-Van,2025-02-10,45.1,95.0,0.26,0.976,4018
Latin America,AT&T,EV-Urban,2025-01-02,57.7,133.2,0.73,0.93,2845
India & Middle East,Singtel,Commercial-Van,2025-01-27,76.8,106.2,0.81,0.963,4035
Latin America,AT&T,Moto-2W,2025-01-21,106.0,149.2,0.42,0.974,3643
North America,AT&T,SUV-Connected,2025-02-22,100.6,178.0,0.6,0.98,2820
Europe & MENA,Singtel,EV-Urban,2025-02-21,46.6,124.6,0.38,0.943,1676
North America,Etisalat,Luxury-Flagship,2025-02-09,112.9,183.8,0.45,0.931,3612
Oceania,Telstra,Commercial-Van,2025-01-17,57.8,96.0,0.69,0.99,2039
Oceania,Rogers,Moto-2W,2025-02-05,52.4,125.6,0.59,0.933,4306
Europe & MENA,Orange,Fleet-Leasing,2025-01-31,91.9,155.3,0.63,0.958,1562
North America,AT&T,Moto-2W,2025-01-30,75.9,130.9,0.44,0.975,2269
North America,AT&T,Luxury-Flagship,2025-02-05,113.6,147.5,0.16,0.934,2205
India & Middle East,Telefonica,Commercial-Van,2025-01-20,66.2,132.3,0.68,0.986,2399
Europe & MENA,Vodafone,Fleet-Leasing,2025-02-24,125.6,173.2,0.41,0.953,744
India & Middle East,Orange,Moto-2W,2025-01-16,111.6,186.1,0.12,0.95,1855
North America,Rogers,Commercial-Van,2025-01-04,54.5,81.9,0.82,0.973,660
Latin America,Telefonica,Compact-Connected,2025-01-18,48.2,115.2,0.55,0.933,2477
Latin America,Orange,Luxury-Flagship,2025-02-22,107.7,135.7,0.5,0.96,3811
Latin America,TIM,Luxury-Flagship,2025-02-02,78.6,132.3,0.31,0.94,2016
Asia-Pacific,Singtel,Luxury-Flagship,2025-02-24,92.0,142.7,0.36,0.957,2902
North America,Rogers,SUV-Connected,2025-01-20,89.5,133.3,0.12,0.943,3445
Oceania,SK Telecom,Commercial-Van,2025-01-09,73.1,113.5,0.78,0.977,1917
Asia-Pacific,SK Telecom,EV-Premium,2025-01-06,100.2,174.2,0.2,0.962,1338
India & Middle East,Telstra,Commercial-Van,2025-01-18,51.8,92.6,0.68,0.975,2321
Latin America,Singtel,Commercial-Van,2025-02-12,85.4,122.5,0.2,0.933,2510
Asia-Pacific,Etisalat,Compact-Connected,2025-02-03,78.8,145.3,0.9,0.987,3268
Latin America,Telefonica,Compact-Connected,2025-02-10,110.8,146.8,0.3,0.96,4333
Asia-Pacific,Telefonica,EV-Premium,2025-02-11,123.6,188.0,0.42,0.991,3416
North America,Singtel,Luxury-Flagship,2025-02-02,134.2,175.7,0.74,0.979,1055
Oceania,TIM,Commercial-Van,2025-01-23,64.7,91.3,0.26,0.96,4679
Latin America,Telstra,EV-Urban,2025-03-01,127.8,189.6,0.62,0.984,3055
North America,Rogers,Compact-Connected,2025-02-10,81.7,132.4,0.15,0.931,3066
Latin America,SK Telecom,EV-Urban,2025-01-02,53.9,118.3,0.86,0.952,1293
Asia-Pacific,Deutsche Telekom,EV-Urban,2025-01-03,95.6,142.7,0.69,0.984,1355
Latin America,Telstra,EV-Premium,2025-01-06,50.8,79.8,0.48,0.982,4237
Europe & MENA,Vodafone,SUV-Connected,2025-02-27,124.4,177.3,0.6,0.952,3825
Oceania,Deutsche Telekom,SUV-Connected,2025-01-11,50.4,78.1,0.59,0.991,1290
India & Middle East,Airtel,Commercial-Van,2025-01-26,82.6,108.2,0.28,0.951,1746
Asia-Pacific,Telstra,SUV-Connected,2025-02-24,111.1,178.8,0.56,0.985,4165
India & Middle East,Etisalat,EV-Premium,2025-01-06,107.3,168.9,0.2,0.974,763
Oceania,Singtel,Compact-Connected,2025-02-22,56.3,133.6,0.36,0.982,1486
North America,Airtel,EV-Premium,2025-01-12,117.6,153.8,0.3,0.968,1003
Asia-Pacific,Etisalat,Fleet-Leasing,2025-01-21,131.0,167.2,0.88,0.935,1627
Europe & MENA,Etisalat,EV-Premium,2025-02-19,103.1,143.5,0.89,0.943,1046
Europe & MENA,Telstra,Luxury-Flagship,2025-02-20,113.6,178.8,0.79,0.97,4902
India & Middle East,Telefonica,Moto-2W,2025-02-01,46.8,89.4,0.83,0.952,2052
India & Middle East,Vodafone,Compact-Connected,2025-01-07,132.5,165.7,0.3,0.957,4592
Latin America,Vodafone,Compact-Connected,2025-01-13,77.2,148.8,0.07,0.951,551
Asia-Pacific,Deutsche Telekom,Commercial-Van,2025-01-29,54.9,110.5,0.63,0.973,2711
Asia-Pacific,Telstra,EV-Urban,2025-01-13,62.1,103.4,0.33,0.988,2416
India & Middle East,Deutsche Telekom,EV-Premium,2025-02-18,115.1,185.8,0.71,0.981,4109
India & Middle East,Deutsche Telekom,Moto-2W,2025-02-18,105.0,158.5,0.33,0.949,1948
North America,Singtel,Commercial-Van,2025-01-09,133.1,195.8,0.16,0.964,945
Asia-Pacific,Singtel,SUV-Connected,2025-01-28,75.2,124.9,0.21,0.975,2824
Latin America,NTT Docomo,EV-Urban,2025-01-17,109.1,166.5,0.39,0.96,1677
Oceania,Orange,Compact-Connected,2025-01-05,46.3,82.8,0.29,0.942,4513
Europe & MENA,TIM,Fleet-Leasing,2025-01-07,60.0,109.4,0.67,0.951,2708
North America,Singtel,Compact-Connected,2025-01-12,75.4,138.3,0.53,0.958,3051
Asia-Pacific,Telstra,Compact-Connected,2025-02-03,59.9,134.3,0.77,0.984,2311
Europe & MENA,AT&T,SUV-Connected,2025-01-22,85.3,134.8,0.6,0.97,560
North America,Telstra,Fleet-Leasing,2025-01-13,89.3,120.4,0.84,0.985,3281
Asia-Pacific,TIM,Commercial-Van,2025-02-03,110.5,143.2,0.21,0.935,1812
Europe & MENA,Orange,Fleet-Leasing,2025-02-16,46.1,79.4,0.61,0.947,886
North America,TIM,Commercial-Van,2025-01-13,102.7,158.1,0.37,0.978,2221
Europe & MENA,Airtel,EV-Premium,2025-01-23,56.3,98.6,0.67,0.945,2124
Asia-Pacific,SK Telecom,Fleet-Leasing,2025-01-26,102.6,138.0,0.79,0.961,2991
Europe & MENA,Rogers,Commercial-Van,2025-02-09,93.8,166.9,0.77,0.937,2301
Oceania,Deutsche Telekom,Fleet-Leasing,2025-02-15,117.1,182.0,0.26,0.94,3693
Asia-Pacific,Telefonica,Commercial-Van,2025-02-01,121.8,178.8,0.79,0.94,2212
India & Middle East,TIM,Luxury-Flagship,2025-01-06,54.8,132.1,0.39,0.945,2952
India & Middle East,Airtel,EV-Premium,2025-01-12,99.3,129.7,0.27,0.937,4683
Latin America,Rogers,Commercial-Van,2025-01-12,86.1,152.7,0.63,0.946,1432
Oceania,TIM,Fleet-Leasing,2025-01-05,124.5,201.4,0.41,0.97,4547
Latin America,Vodafone,SUV-Connected,2025-01-26,128.5,176.8,0.63,0.98,2740
Europe & MENA,Singtel,Moto-2W,2025-02-08,117.3,161.5,0.22,0.945,3495
North America,Rogers,Compact-Connected,2025-01-27,64.9,126.6,0.33,0.982,1389
Oceania,Telstra,SUV-Connected,2025-01-22,58.9,136.3,0.23,0.933,2952
Asia-Pacific,Orange,Moto-2W,2025-02-01,96.1,145.7,0.88,0.981,4045
North America,Deutsche Telekom,Compact-Connected,2025-01-06,65.7,141.4,0.27,0.949,4479
India & Middle East,SK Telecom,Compact-Connected,2025-02-21,90.8,124.0,0.62,0.983,1326
Latin America,TIM,Compact-Connected,2025-02-21,128.3,205.9,0.69,0.97,1807
Europe & MENA,Telstra,Compact-Connected,2025-02-09,52.6,117.9,0.65,0.973,4716
Asia-Pacific,Etisalat,Fleet-Leasing,2025-01-27,124.7,164.2,0.75,0.962,4078
India & Middle East,Singtel,Compact-Connected,2025-02-23,56.8,107.0,0.5,0.99,3808
Latin America,Deutsche Telekom,EV-Urban,2025-02-09,104.7,183.9,0.38,0.967,1172
Oceania,Airtel,Commercial-Van,2025-02-02,106.8,171.0,0.34,0.975,4287
Europe & MENA,NTT Docomo,Fleet-Leasing,2025-01-18,52.0,80.6,0.74,0.977,2951
Oceania,Rogers,Moto-2W,2025-02-15,104.1,135.8,0.15,0.96,1881
Europe & MENA,Deutsche Telekom,SUV-Connected,2025-01-25,57.8,107.2,0.07,0.952,1874
North America,Telstra,Moto-2W,2025-02-23,121.7,193.3,0.48,0.97,2291
Asia-Pacific,Orange,EV-Urban,2025-02-11,49.5,87.5,0.43,0.947,1215
India & Middle East,Vodafone,EV-Premium,2025-02-05,47.7,108.2,0.55,0.941,3793
Europe & MENA,AT&T,Moto-2W,2025-01-03,68.4,129.4,0.54,0.979,4248
North America,SK Telecom,Compact-Connected,2025-02-27,54.0,97.4,0.49,0.93,4062
Asia-Pacific,Orange,Fleet-Leasing,2025-01-28,128.6,196.2,0.68,0.952,4177
Europe & MENA,Telefonica,Moto-2W,2025-02-08,70.1,97.6,0.76,0.947,4827
North America,NTT Docomo,Fleet-Leasing,2025-01-11,117.8,170.5,0.46,0.989,1144
Oceania,Airtel,Luxury-Flagship,2025-02-04,70.4,137.5,0.49,0.988,1121
Europe & MENA,AT&T,Compact-Connected,2025-01-12,70.4,116.3,0.35,0.985,2173
Asia-Pacific,Orange,Luxury-Flagship,2025-02-18,58.2,91.1,0.33,0.954,2218
Europe & MENA,Vodafone,Compact-Connected,2025-01-25,121.1,200.4,0.73,0.963,973
Latin America,Singtel,EV-Urban,2025-02-15,125.6,174.4,0.76,0.961,4575
Latin America,Deutsche Telekom,Commercial-Van,2025-02-16,131.8,197.4,0.09,0.957,3873
Latin America,SK Telecom,Fleet-Leasing,2025-01-08,91.3,170.4,0.72,0.984,3387
Oceania,Orange,EV-Urban,2025-01-26,84.1,132.3,0.34,0.987,3888
Asia-Pacific,Telstra,Moto-2W,2025-01-30,65.8,98.3,0.58,0.978,2264
North America,Orange,Compact-Connected,2025-02-09,102.7,179.0,0.79,0.965,2208
Asia-Pacific,Etisalat,EV-Premium,2025-01-09,67.3,122.1,0.84,0.976,1414
Latin America,Etisalat,Commercial-Van,2025-02-10,124.1,192.8,0.29,0.938,2050
Asia-Pacific,Telstra,Compact-Connected,2025-02-25,85.4,139.2,0.62,0.958,4328
India & Middle East,SK Telecom,Moto-2W,2025-01-05,93.4,148.3,0.44,0.989,1452
North America,Orange,Fleet-Leasing,2025-02-14,120.3,163.9,0.33,0.95,3693
Oceania,SK Telecom,Compact-Connected,2025-01-15,80.2,158.8,0.52,0.977,2210
India & Middle East,AT&T,SUV-Connected,2025-02-28,124.6,161.2,0.1,0.948,1999
Europe & MENA,Telefonica,Commercial-Van,2025-01-07,98.5,177.0,0.54,0.981,751
Oceania,Telstra,Commercial-Van,2025-01-20,95.7,160.1,0.23,0.975,1257
North America,Telefonica,Moto-2W,2025-01-12,114.5,185.3,0.53,0.988,2283
Asia-Pacific,TIM,Commercial-Van,2025-02-17,108.7,152.8,0.06,0.941,1563
Oceania,Rogers,SUV-Connected,2025-02-07,100.7,174.5,0.11,0.943,618
Latin America,NTT Docomo,Commercial-Van,2025-02-17,124.4,188.6,0.61,0.985,904
Oceania,Singtel,Fleet-Leasing,2025-03-01,99.2,128.5,0.87,0.991,1773
North America,Telefonica,Luxury-Flagship,2025-02-04,97.2,163.4,0.58,0.964,1710
Asia-Pacific,Telstra,Compact-Connected,2025-02-19,52.9,108.1,0.63,0.974,2286
India & Middle East,Telefonica,Compact-Connected,2025-01-16,127.6,193.8,0.69,0.982,2127
Asia-Pacific,Vodafone,Fleet-Leasing,2025-02-14,109.7,138.1,0.47,0.956,2863
Latin America,SK Telecom,EV-Urban,2025-02-26,126.6,191.2,0.51,0.961,1112
Asia-Pacific,Etisalat,Fleet-Leasing,2025-01-01,104.5,137.8,0.86,0.979,2010
North America,Vodafone,Commercial-Van,2025-01-11,111.9,168.8,0.82,0.951,4781
North America,TIM,SUV-Connected,2025-02-07,48.8,123.7,0.08,0.972,4742
Europe & MENA,Orange,Commercial-Van,2025-02-14,59.2,92.3,0.73,0.971,4577
Oceania,Singtel,Compact-Connected,2025-01-20,117.1,147.1,0.81,0.949,1512
India & Middle East,Telstra,Compact-Connected,2025-01-01,72.6,149.3,0.26,0.951,4479
North America,Deutsche Telekom,Fleet-Leasing,2025-01-19,53.3,105.6,0.33,0.946,4591
North America,Telefonica,SUV-Connected,2025-01-03,90.6,150.8,0.12,0.967,3565
Europe & MENA,Rogers,EV-Urban,2025-01-29,46.0,106.3,0.68,0.958,1933
North America,Deutsche Telekom,EV-Urban,2025-03-01,47.5,113.6,0.18,0.983,1682
Europe & MENA,NTT Docomo,Luxury-Flagship,2025-01-23,63.3,91.4,0.37,0.94,2903
Europe & MENA,Telstra,Commercial-Van,2025-01-19,116.4,167.1,0.42,0.972,4923
Asia-Pacific,Vodafone,Commercial-Van,2025-02-09,128.4,188.3,0.42,0.942,3916
Oceania,Orange,Fleet-Leasing,2025-01-09,60.3,117.6,0.36,0.974,1221
Europe & MENA,Etisalat,Fleet-Leasing,2025-01-04,50.7,115.4,0.5,0.989,3318
India & Middle East,TIM,SUV-Connected,2025-02-28,64.0,110.3,0.13,0.96,1819
Latin America,Vodafone,Moto-2W,2025-02-24,124.9,199.0,0.76,0.962,844
India & Middle East,SK Telecom,EV-Premium,2025-01-20,119.2,159.3,0.53,0.953,852
Latin America,TIM,Moto-2W,2025-02-02,104.2,134.0,0.69,0.931,2623
Europe & MENA,Airtel,Fleet-Leasing,2025-01-09,88.1,159.3,0.81,0.981,4948
Asia-Pacific,NTT Docomo,SUV-Connected,2025-02-22,79.8,113.7,0.79,0.962,2583
Europe & MENA,Telefonica,Compact-Connected,2025-01-19,106.1,148.8,0.6,0.983,1105
North America,Singtel,Commercial-Van,2025-01-04,46.4,79.2,0.75,0.95,1641
Latin America,Airtel,EV-Premium,2025-01-13,84.3,135.1,0.62,0.976,3531
Europe & MENA,Telstra,Compact-Connected,2025-01-31,60.1,139.8,0.77,0.946,3617
Latin America,Telefonica,Moto-2W,2025-01-07,120.5,157.6,0.66,0.966,1419
Oceania,Etisalat,SUV-Connected,2025-02-15,120.7,191.1,0.61,0.958,2845
Asia-Pacific,TIM,Fleet-Leasing,2025-02-11,110.1,145.9,0.25,0.947,631
Europe & MENA,TIM,Moto-2W,2025-01-14,94.3,123.8,0.15,0.971,3365
Latin America,Orange,Luxury-Flagship,2025-01-16,56.3,89.7,0.86,0.963,773
Oceania,Rogers,Fleet-Leasing,2025-02-16,100.1,178.2,0.61,0.978,2467
North America,Telefonica,Compact-Connected,2025-01-29,51.0,120.8,0.76,0.984,4844
Oceania,NTT Docomo,Moto-2W,2025-01-25,81.3,136.6,0.79,0.934,1780
North America,Orange,EV-Premium,2025-02-27,78.7,133.6,0.3,0.961,1753
India & Middle East,NTT Docomo,EV-Urban,2025-01-29,64.1,99.2,0.71,0.947,3164
India & Middle East,Telefonica,Moto-2W,2025-01-05,124.1,181.8,0.27,0.937,1870
Europe & MENA,Etisalat,Fleet-Leasing,2025-01-03,48.7,98.6,0.82,0.988,2749
Europe & MENA,Singtel,Commercial-Van,2025-01-02,115.9,185.0,0.6,0.969,1319
